Time[min],Mass[mg],Temperature[degreeC],RH_target[%],RH_measured[%]
0,8.9937,26,0,0.51
0.03,8.99,26,0,0.5
0.07,8.9867,26,0,0.5
0.1,8.9825,26,0,0.5
0.14,8.9787,26,0,0.49
0.17,8.9757,26,0,0.5
0.2,8.9723,26,0,0.5
0.24,8.9689,26,0,0.51
0.27,8.966,26.1,0,0.5
0.3,8.9646,26,0,0.51
0.34,8.9603,26.1,0,0.51
0.37,8.9586,26.1,0,0.5
0.41,8.9558,26.2,0,0.51
0.44,8.9528,26.3,0,0.51
0.47,8.9501,26.4,0,0.51
0.51,8.9464,26.5,0,0.51
0.54,8.9438,26.6,0,0.51
0.58,8.9415,26.7,0,0.51
0.61,8.9387,26.8,0,0.51
0.64,8.9358,26.9,0,0.51
0.68,8.9331,27.1,0,0.51
0.71,8.9302,27.2,0,0.51
0.74,8.9272,27.3,0,0.51
0.78,8.9238,27.4,0,0.51
0.81,8.9205,27.5,0,0.51
0.85,8.9165,27.7,0,0.51
0.88,8.9126,27.9,0,0.51
0.91,8.9083,28.1,0,0.51
0.95,8.9041,28.2,0,0.51
0.98,8.8991,28.4,0,0.51
1.02,8.894,28.5,0,0.51
1.05,8.8882,28.6,0,0.51
1.08,8.8855,28.8,0,0.51
1.12,8.8793,28.9,0,0.51
1.15,8.8732,29.1,0,0.51
1.18,8.8668,29.2,0,0.51
1.22,8.8608,29.3,0,0.51
1.25,8.8544,29.5,0,0.51
1.29,8.8481,29.6,0,0.51
1.32,8.8409,29.7,0,0.51
1.35,8.834,29.9,0,0.51
1.39,8.8302,30.1,0,0.51
1.42,8.8189,30.3,0,0.51
1.46,8.8149,30.4,0,0.51
1.49,8.8073,30.6,0,0.51
1.52,8.799,30.7,0,0.51
1.56,8.7911,30.9,0,0.51
1.59,8.7793,31,0,0.51
1.62,8.7711,31.2,0,0.51
1.66,8.7634,31.3,0,0.52
1.69,8.755,31.5,0,0.52
1.73,8.7469,31.7,0,0.51
1.76,8.7378,31.8,0,0.51
1.79,8.7289,32,0,0.51
1.83,8.7192,32.1,0,0.52
1.86,8.7101,32.3,0,0.52
1.89,8.701,32.5,0,0.51
1.93,8.6912,32.7,0,0.51
1.96,8.682,32.9,0,0.52
2,8.672,33.1,0,0.52
2.03,8.6624,33.3,0,0.52
2.06,8.6521,33.5,0,0.51
2.1,8.6422,33.7,0,0.52
2.13,8.6313,33.8,0,0.53
2.17,8.6206,34,0,0.54
2.2,8.6148,34.2,0,0.53
2.23,8.6038,34.4,0,0.53
2.27,8.5919,34.6,0,0.53
2.3,8.5805,34.7,0,0.53
2.33,8.5683,34.9,0,0.53
2.37,8.5567,35,0,0.53
2.4,8.5443,35.2,0,0.53
2.44,8.5322,35.3,0,0.53
2.47,8.5192,35.4,0,0.53
2.5,8.5069,35.6,0,0.53
2.54,8.5004,35.8,0,0.53
2.57,8.4881,36,0,0.53
2.61,8.475,36.2,0,0.53
2.64,8.4625,36.4,0,0.53
2.67,8.4492,36.6,0,0.53
2.71,8.4297,36.8,0,0.54
2.74,8.417,37,0,0.54
2.78,8.4033,37.2,0,0.54
2.81,8.3903,37.4,0,0.54
2.84,8.3765,37.5,0,0.54
2.88,8.3637,37.7,0,0.54
