,name,isotherm_RH,kinetics_RH,isotherm_uptake,kinetics_uptake
0,Syloid AL-1,60.0,60.0,27.24502157946544,25.844885724990633
1,Zeolite 13X,90.0,90.0,7.867885774862526,7.557255617958025
2,CAU-10-H,60.0,60.0,25.506082666215207,26.615990266966055
3,MIL-100Fe,60.0,60.0,50.5472411400739,48.21693789226568
4,Zeolite 3A,90.0,90.0,5.718286497271564,5.599774304305026
5,activated-charcoal,90.0,90.0,27.190449750138818,28.952713391918497
6,Al oxide,90.0,90.0,19.010442608963054,18.915063139555492
7,bentonite,90.0,90.0,14.942024234814355,16.45154294040119
8,montmorillonite,90.0,90.0,25.07093974294776,24.9115439198084
9,Cellulose,60.0,60.0,6.913811418591677,6.508270971445375
10,HP-MCP,90.0,90.0,9.85410553125519,9.615803185700614
11,Kollidon,90.0,90.0,16.31863745231971,14.799211883960274
12,Al-fumarate,60.0,60.0,38.19796557935179,37.22385953260552
13,MIL-160,60.0,60.0,36.28750491330744,36.06679939181642
14,MOF-303,60.0,60.0,36.394772894930966,37.81234222344261
15,ROS-037,90.0,90.0,9.532731533206118,10.865025628045315
16,ROS-039,60.0,60.0,23.914324635048846,23.02085358065142
17,ROS-040,60.0,60.0,16.59408016775547,15.828980014865847
18,[Co2(mal)2(bpy)],90.0,90.0,11.037014641731103,12.291819795270788
19,[Ni2(mal)2(bpy)],90.0,90.0,12.929933347267697,12.582374222377078
20,Mg-CUK-1,60.0,60.0,31.523048918059693,30.88743855432468
21,hcp-UiO-66,60.0,60.0,22.40667901991445,22.138658783899906
22,UiO-66-NH2,60.0,60.0,38.08026108531601,37.243472544629114
23,[Ca2Zr(C2O4)2],90.0,90.0,9.215485631448795,9.164016663605874
24,[Cu(HQS)(TMBP)],60.0,60.0,13.579640202758682,14.025915225734119
25,sql-(azpy)(pdia)-Ni,90.0,90.0,11.612702071975896,11.119304037233471
26,[Cd(pzdc)(azpy)],60.0,60.0,6.230642991991894,6.704193817525112
27,ZPF-2-Co,30.0,30.0,15.4995,15.513887164203812
28,MIL-53(Al)-ADP,90.0,90.0,12.625953575653751,11.76671524867918
29,MIL-53(Al)-OH,90.0,90.0,36.52264535443316,37.19799646434886
